number,value,state,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_is_unbalance,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,datetime_start,datetime_complete,duration
31,0.7842240731340419,COMPLETE,0.720231719020401,5,goss,0.5280224648201424,True,4.315399901427467,0.13790669699126626,0.022071013090649322,5,145,1.5413500360848345,155,0.782498300926828,,,,2025-08-28 22:03:12.413345,2025-08-28 22:07:07.551130,0 days 00:03:55.137785
32,0.7572725095745654,PRUNED,0.7661688351301419,4,goss,0.6550886324743915,False,0.015016842589606427,0.7705453322532134,0.01377817730149572,7,64,1.9496528048389223,187,0.7572725095745654,,,,2025-08-28 22:07:07.691156,2025-08-28 22:07:28.118977,0 days 00:00:20.427821
33,0.7625080364918603,PRUNED,0.7271752275615955,3,goss,0.8595002198243106,False,7.456233207083241,7.041019681759324,0.00979793234991178,6,122,1.380586484172751,192,0.7625080364918603,,,,2025-08-28 22:07:28.126712,2025-08-28 22:08:05.752575,0 days 00:00:37.625863
34,0.7313436029447583,PRUNED,0.843479757271107,5,gbdt,0.7488591575158118,False,0.20542644779711186,0.20687583957059,0.023757344645832755,2,159,1.2046776487706325,141,0.7313436029447583,,,,2025-08-28 22:08:05.762858,2025-08-28 22:08:11.958889,0 days 00:00:06.196031
35,0.7454724895573368,PRUNED,0.5621275607992094,2,goss,0.769115658513918,False,0.4552082283887784,6.082396060951161,0.02747613892040807,3,154,1.7831193735344253,54,0.7454724895573368,,,,2025-08-28 22:08:11.967079,2025-08-28 22:08:19.275511,0 days 00:00:07.308432
36,0.7825538519606103,COMPLETE,0.7419436826776021,7,goss,0.6625264489223879,False,0.4842143664050202,0.004170729802479234,0.03664292609773303,8,117,1.6840415656258785,89,0.7716439009129965,0.7815871116397497,,,2025-08-28 22:08:19.283267,2025-08-28 22:09:51.656945,0 days 00:01:32.373678
37,0.7413380728827015,PRUNED,0.6927510812571518,9,goss,0.830042354302509,False,1.127883476816292,0.40386913082222353,0.006344340152858236,-1,27,1.8384764134410962,51,0.7413380728827015,,,,2025-08-28 22:09:51.699425,2025-08-28 22:10:11.767516,0 days 00:00:20.068091
38,0.7790651125884824,PRUNED,0.8224032014854051,10,goss,0.7377274200614663,False,0.4370926717337418,2.803335491071106,0.009967992430739765,6,117,0.9342436634896252,158,0.7790651125884824,,,,2025-08-28 22:10:11.775686,2025-08-28 22:11:48.101254,0 days 00:01:36.325568
39,0.7479444767240644,PRUNED,0.744945534113871,6,goss,0.8400247408930525,False,1.120274513497406,0.01949798280369274,0.006931768724478383,12,69,1.8194860942633722,117,0.7479444767240644,,,,2025-08-28 22:11:48.140784,2025-08-28 22:12:16.746157,0 days 00:00:28.605373
40,0.7384972707840418,PRUNED,0.8831048884510428,4,goss,0.8001628587137287,False,5.745449397420357,0.0003732855367568498,0.009201733096437377,5,97,1.7972668789067652,159,0.7384972707840418,,,,2025-08-28 22:12:16.770456,2025-08-28 22:12:29.288489,0 days 00:00:12.518033
41,0.6976515962670214,PRUNED,0.575722575833044,3,goss,0.9813267017780551,False,5.514550568169704e-08,0.02792845384813539,0.007736025907014608,1,59,1.2326229989721496,23,0.6976515962670214,,,,2025-08-28 22:12:29.296515,2025-08-28 22:12:34.521132,0 days 00:00:05.224617
42,0.782120190324665,PRUNED,0.8704710228101853,2,goss,0.9718839920345289,False,6.729723964420564e-06,0.10141200385473184,0.006021966379794541,5,62,1.0573443834624,41,0.782120190324665,,,,2025-08-28 22:12:34.531149,2025-08-28 22:16:58.473614,0 days 00:04:23.942465
43,0.7827687549248654,PRUNED,0.6017208475384089,1,goss,0.9484212798216478,True,4.359839732929072e-07,1.1278827617951692,0.007823583959094351,5,108,1.601794629734572,36,0.7827687549248654,,,,2025-08-28 22:16:58.643070,2025-08-28 22:21:09.305213,0 days 00:04:10.662143
44,0.7659388645016673,PRUNED,0.5576591673111502,0,goss,0.825046384059767,False,6.860614089005251e-08,1.8585270054069838e-05,0.01015315423202618,11,73,1.174510625365692,36,0.7659388645016673,,,,2025-08-28 22:21:09.482731,2025-08-28 22:21:50.854319,0 days 00:00:41.371588
45,0.7345959547903587,PRUNED,0.7817004133385249,3,gbdt,0.9798454917229144,False,1.594990371833501e-08,5.291796885311222,0.008143903406761572,7,96,0.6034418487421089,24,0.7345959547903587,,,,2025-08-28 22:21:50.864173,2025-08-28 22:22:03.907948,0 days 00:00:13.043775
46,0.7797383520544569,PRUNED,0.6673856724812316,4,goss,0.683150176558446,True,8.606187144606429e-05,0.250321867134022,0.03864149597003263,6,102,1.0518697200492042,94,0.7683138251822514,0.7797383520544569,,,2025-08-28 22:22:03.940333,2025-08-28 22:22:33.093910,0 days 00:00:29.153577
47,0.7457552665394205,PRUNED,0.7090205537065272,9,goss,0.8877297185742701,False,1.1451808449268042e-06,0.07076335830855146,0.011597531957256511,6,29,0.46514508580171476,56,0.7457552665394205,,,,2025-08-28 22:22:33.102911,2025-08-28 22:22:49.396866,0 days 00:00:16.293955
48,0.7398413698812244,PRUNED,0.5937027377446149,10,goss,0.7930471200140842,False,8.786430774320264,0.40230241970642144,0.010564307606748749,5,144,1.4716552131442533,121,0.7398413698812244,,,,2025-08-28 22:22:49.404617,2025-08-28 22:23:02.071122,0 days 00:00:12.666505
49,0.7130117684982841,PRUNED,0.6801222936672231,6,goss,0.7532596583450011,False,6.771681764296636,2.487502760331584,0.022091904719316373,1,129,1.8463864258128708,92,0.7130117684982841,,,,2025-08-28 22:23:02.078850,2025-08-28 22:23:07.521550,0 days 00:00:05.442700
