feature,gain,split
FLAG_DOCUMENT_8,292.46726846694946,24
REG_REGION_NOT_LIVE_REGION,269.0588798522949,25
REG_CITY_NOT_WORK_CITY,213.9092378616333,11
AMT_REQ_CREDIT_BUREAU_WEEK,208.43869972229004,14
BUREAU_BB_STATUS_3_SUM,166.21602153778076,13
REG_REGION_NOT_WORK_REGION,162.450270652771,15
FLAG_EMAIL,157.0252604484558,13
FLAG_DOCUMENT_5,147.99592065811157,14
LIVE_REGION_NOT_WORK_REGION,106.0390977859497,7
EMERGENCYSTATE_MODE,42.382699966430664,3
FLAG_DOCUMENT_6,34.13368034362793,2
FLAG_EMP_PHONE,0.0,0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0
DOWNPAY_SHARE,0.0,0
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0
