number,value,state,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,params_scale_pos_weight,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,datetime_start,datetime_complete,duration
25,0.23239137512506747,PRUNED,0.5049380087364914,4,goss,0.5968243079229514,0.07991412016246416,2.988003293825827e-08,0.011116283145083637,6,230,0.2872834291327401,78,50.43780350823282,0.23239137512506747,,,2025-09-03 16:13:10.129161,2025-09-03 16:13:28.273955,0 days 00:00:18.144794
26,0.27304132391020525,COMPLETE,0.5480981877830202,0,gbdt,0.5131477154627612,0.0014419732606559708,8.20431710782913e-08,0.02674404964059554,8,230,1.1611411407632577,86,9.209021283631865,0.25199544885912106,0.26891765303540005,0.2728067809500522,2025-09-03 16:13:28.282192,2025-09-03 16:16:41.287245,0 days 00:03:13.005053
27,0.2691800939634335,COMPLETE,0.5232545457224546,2,gbdt,0.5424286883003978,5.1168840043359264e-05,3.544534997940117e-07,0.026931464192999376,8,228,1.548825225863419,54,33.13040718148705,0.2690115089323405,,,2025-09-03 16:16:41.310691,2025-09-03 16:19:52.045833,0 days 00:03:10.735142
28,0.2589069629405753,PRUNED,0.531910760334965,0,gbdt,0.5135510336861976,0.03844102415414005,1.6397489120931332e-07,0.014869288128197704,10,253,0.8706806553246836,58,13.34271647393436,0.2589069629405753,,,2025-09-03 16:19:52.069377,2025-09-03 16:20:53.204274,0 days 00:01:01.134897
29,0.24734643719172178,PRUNED,0.5261722021602834,2,gbdt,0.6323717607618058,0.001004531711936044,2.795810922982447e-07,0.013507218240307064,4,131,1.213732776467208,113,6.736433253197732,0.24734643719172178,,,2025-09-03 16:20:53.214488,2025-09-03 16:21:21.440304,0 days 00:00:28.225816
30,0.2122929949686791,PRUNED,0.5435048170085002,1,goss,0.9156965147880536,0.0008350997971305276,9.677948791748454e-07,0.026834770380313025,1,78,0.17010092328323323,85,45.224947793039235,0.2122929949686791,,,2025-09-03 16:21:21.451770,2025-09-03 16:21:43.013593,0 days 00:00:21.561823
31,0.26673532694461877,PRUNED,0.5511605347086631,4,gbdt,0.5148973898195804,8.768118877374495e-07,1.604440769741861e-05,0.0446027976214346,10,161,1.4712835126412778,94,15.211090655711017,0.2557892020430107,0.26673532694461877,,2025-09-03 16:21:43.024115,2025-09-03 16:22:47.847594,0 days 00:01:04.823479
32,0.2302109069394044,PRUNED,0.5050792522183677,0,goss,0.6949662291312136,0.5650296591592436,0.00023418660795907414,0.022732720482293446,4,101,0.03465948992487117,73,12.560126219996503,0.2302109069394044,,,2025-09-03 16:22:47.883833,2025-09-03 16:22:58.604576,0 days 00:00:10.720743
33,0.26596715917491165,PRUNED,0.5013238193227832,1,gbdt,0.6321754958389845,5.805643802909403e-06,8.293717948960766e-08,0.02106125369556065,4,245,1.4052071223352045,58,61.064100549906506,0.26596715917491165,,,2025-09-03 16:22:58.613011,2025-09-03 16:24:18.759572,0 days 00:01:20.146561
34,0.27085852840291136,COMPLETE,0.6561865584873101,0,gbdt,0.5269071685831663,0.0772585776147245,3.3499098224867997e-08,0.04890062873396495,6,186,1.2515654864061752,105,5.924304968484706,0.2581803360798683,0.2692438026551902,,2025-09-03 16:24:18.802708,2025-09-03 16:26:18.400467,0 days 00:01:59.597759
